Serial Number,Topic Name,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level
17781,Algebra,"Find the result of a * x + b given a = 1, b = 8, x = 2.",10,6,15,19,Option A: 10,Medium
17782,Numbers,Add 5 and 23. What do you get?,25,34,32,28,Option D: 28,Hard
17783,Profit and Loss,A product costs 80 and is sold at a profit of 12%. What is the selling price?,85.37,98.29,93.76,89.6,Option D: 89.6,Medium
17784,Profit and Loss,Find the selling price of a product with a cost price of 88 and a 16% profit.,102.08,100.75,109.94,104.69,Option A: 102.08,Hard
17785,Pipes and Cisterns,A pipe fills a tank in 9 hours and another empties it in 4 hours. Calculate the time to fill the tank of 36 liters with both pipes open.,5.53,7.2,12.46,10.16,Option B: 7.2,Hard
17786,Pipes and Cisterns,"A pipe can fill a tank in 1 hours and another pipe can empty it in 3 hours. If both are open, how long will it take to fill the tank of 57 liters?",-31.24,-22.99,-25.54,-28.5,Option D: -28.5,Easy
17787,Ratio and Proportion,"If A:B = 2:4 and A is 17, determine the value of B.",31.84,36.56,34.0,38.89,Option C: 34.0,Hard
17788,"Time, Speed, Distance","If a vehicle travels 118 km at a speed of 29 km/hr, how long will it take to cover the distance?",4.07,1.55,6.98,8.16,Option A: 4.07,Medium
17789,"Time, Speed, Distance",A vehicle covers 182 km at 20 km/hr. How much time does it take?,10.62,6.59,14.97,9.1,Option D: 9.1,Hard
17790,Pipes and Cisterns,"A pipe can fill a tank in 3 hours and another pipe can empty it in 3 hours. If both are open, how long will it take to fill the tank of 31 liters?",-1.6,0,5.42,2.18,Option B: 0,Medium
17791,Algebra,"Given a = 8, b = 6, and x = 1, compute ax + b.",15,14,13,23,Option B: 14,Medium
17792,Numbers,19 added to 22 equals what?,41,39,42,47,Option A: 41,Easy
17793,Profit and Loss,What would be the selling price if the cost price is 68 and profit is 18%?,75.6,89.65,80.24,82.8,Option C: 80.24,Hard
17794,Time and Work,"Given A can do a work in 6 days and B in 1 days, find the total time they will take working together.",0.86,-1.32,6.56,3.48,Option A: 0.86,Hard
17795,Pipes and Cisterns,Find the time required to fill a tank of 34 liters if one pipe fills it in 4 hours and another empties it in 1 hours.,11.33,9.25,13.11,15.61,Option A: 11.33,Medium
17796,Ratio and Proportion,Calculate the value of B if A:B = 2:5 and A = 47.,117.5,118.71,122.84,114.73,Option A: 117.5,Medium
17797,Profit and Loss,A product costs 73 and is sold at a profit of 9%. What is the selling price?,87.27,78.29,79.57,82.69,Option C: 79.57,Medium
17798,"Time, Speed, Distance",Find the travel time for 84 km at 30 km/hr.,8.66,1.58,2.8,4.43,Option C: 2.8,Hard
17799,Algebra,"What does ax + b equal if a = 4, b = 5, x = 5?",31,27,21,25,Option D: 25,Medium
17800,Average,"Calculate the average value of 72, 39, and 14.",41.67,37.11,50.1,43.54,Option A: 41.67,Medium
17801,Profit and Loss,What would be the selling price if the cost price is 85 and profit is 6%?,99.07,89.08,94.79,90.1,Option D: 90.1,Hard
17802,Time and Work,"If A can complete a work in 9 days and B can complete it in 6 days, how many days will they take to complete the work together?",7.61,4.6,0.87,3.6,Option D: 3.6,Easy
17803,"Time, Speed, Distance",A vehicle covers 182 km at 16 km/hr. How much time does it take?,12.82,11.38,10.35,16.66,Option B: 11.38,Medium
17804,Ratio and Proportion,"If the ratio of A to B is 2:1 and A is 16, what is B?",5.82,12.77,8.0,10.15,Option C: 8.0,Medium
17805,Ratio and Proportion,"If A:B = 2:1 and A is 39, determine the value of B.",19.5,20.69,25.38,17.91,Option A: 19.5,Easy
17806,Time and Work,How many days will it take for A and B to finish a work together if A takes 4 days and B takes 5 days?,8.18,3.68,-0.48,2.22,Option D: 2.22,Hard
17807,Average,"What is the mean of the numbers 60, 13, and 38?",45.51,41.17,37.0,32.98,Option C: 37.0,Easy
17808,Average,"58, 97, and 22 have an average of:",65.36,59.0,54.08,61.66,Option B: 59.0,Medium
17809,Average,"What is the mean of the numbers 85, 49, and 10?",56.66,48.0,50.32,46.68,Option B: 48.0,Hard
17810,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 2 days?,3.2,-0.45,1.67,5.7,Option C: 1.67,Hard
17811,Average,"The average of 86, 58, and 92 is:",80.04,85.39,78.67,74.19,Option C: 78.67,Easy
17812,Average,"What is the mean of the numbers 87, 55, and 59?",67.0,75.79,71.83,64.53,Option A: 67.0,Easy
17813,"Time, Speed, Distance",Find the travel time for 98 km at 21 km/hr.,6.48,4.67,8.96,2.29,Option B: 4.67,Easy
17814,Time and Work,How many days will it take for A and B to finish a work together if A takes 1 days and B takes 7 days?,0.88,-1.6,3.21,5.46,Option A: 0.88,Easy
17815,Profit and Loss,"If the cost price is 55 and the profit percentage is 13%, calculate the selling price.",68.52,66.48,60.73,62.15,Option D: 62.15,Easy
17816,Algebra,"What does ax + b equal if a = 8, b = 6, x = 6?",54,51,57,62,Option A: 54,Medium
17817,Algebra,"What does ax + b equal if a = 5, b = 10, x = 10?",55,62,60,70,Option C: 60,Easy
17818,Percentage,What is 46% of 176?,82.57,80.96,88.29,77.63,Option B: 80.96,Medium
17819,Profit and Loss,What would be the selling price if the cost price is 89 and profit is 8%?,96.12,104.69,93.42,98.74,Option A: 96.12,Hard
17820,Numbers,Add 8 and 36. What do you get?,39,44,45,50,Option B: 44,Easy
17821,Ratio and Proportion,A is 23 and the ratio of A to B is 3:4. What is B?,32.64,28.19,34.8,30.67,Option D: 30.67,Hard
17822,Numbers,42 added to 3 equals what?,49,45,40,53,Option B: 45,Medium
17823,Numbers,What is the sum of 26 and 16?,39,42,49,47,Option B: 42,Medium
17824,Percentage,41% of 164 is what?,68.62,65.52,73.25,67.24,Option D: 67.24,Hard
17825,Algebra,"If a = 9, b = 9, and x = 7, what is ax + b?",80,72,75,67,Option B: 72,Hard
17826,Ratio and Proportion,"If the ratio of A to B is 3:4 and A is 24, what is B?",37.45,34.65,32.0,29.37,Option C: 32.0,Medium
17827,Percentage,Find 1% of 157.,0.52,6.09,1.57,9.51,Option C: 1.57,Medium
17828,Ratio and Proportion,"If the ratio of A to B is 3:5 and A is 44, what is B?",73.33,78.53,71.39,75.13,Option A: 73.33,Medium
17829,Numbers,11 added to 34 equals what?,45,41,55,48,Option A: 45,Easy
17830,Profit and Loss,Find the selling price of a product with a cost price of 86 and a 18% profit.,104.99,100.08,101.48,108.96,Option C: 101.48,Easy
17831,Time and Work,Calculate the time for A and B to complete a work together if A takes 2 days and B takes 1 days individually.,5.11,1.94,0.67,-1.75,Option C: 0.67,Hard
17832,Average,"Calculate the average value of 41, 65, and 32.",55.85,43.68,49.43,46.0,Option D: 46.0,Hard
17833,Time and Work,"If A can complete a work in 2 days and B can complete it in 9 days, how many days will they take to complete the work together?",-0.72,6.39,3.2,1.64,Option D: 1.64,Medium
17834,Numbers,What is the sum of 22 and 45?,70,75,65,67,Option D: 67,Medium
17835,Ratio and Proportion,Find B given that the ratio of A to B is 5:4 and A equals 41.,34.21,32.8,31.63,37.69,Option B: 32.8,Hard
17836,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 5 days individually.,2.92,0.24,3.98,7.0,Option A: 2.92,Hard
17837,Ratio and Proportion,"If A:B = 3:4 and A is 21, determine the value of B.",28.0,32.49,29.59,25.45,Option A: 28.0,Easy
17838,Algebra,"Given a = 5, b = 10, and x = 5, compute ax + b.",38,32,41,35,Option D: 35,Hard
17839,Numbers,Add 24 and 36. What do you get?,60,67,57,64,Option A: 60,Hard
17840,Average,"Find the arithmetic mean of 4, 43, and 45.",30.67,27.79,40.42,33.76,Option A: 30.67,Hard
17841,Pipes and Cisterns,A pipe fills a tank in 6 hours and another empties it in 1 hours. Calculate the time to fill the tank of 57 liters with both pipes open.,14.2,8.58,16.67,11.4,Option D: 11.4,Medium
17842,Time and Work,"A takes 6 days to finish a work and B takes 4 days. Working together, how many days will they take?",6.78,-0.11,5.34,2.4,Option D: 2.4,Medium
17843,Percentage,Find 26% of 112.,29.12,35.42,24.53,30.28,Option A: 29.12,Easy
17844,Percentage,Determine the value of 45% of 165.,83.31,74.25,70.36,78.49,Option B: 74.25,Hard
17845,Percentage,1% of 86 is what?,-1.95,0.86,6.88,1.95,Option B: 0.86,Hard
17846,Pipes and Cisterns,"A pipe can fill a tank in 7 hours and another pipe can empty it in 5 hours. If both are open, how long will it take to fill the tank of 43 liters?",27.48,20.15,23.66,21.5,Option D: 21.5,Medium
17847,Numbers,Calculate the total of 22 plus 50.,72,79,73,68,Option A: 72,Easy
17848,Ratio and Proportion,Find B given that the ratio of A to B is 5:1 and A equals 27.,10.98,5.4,7.13,2.93,Option B: 5.4,Easy
17849,Time and Work,"If A can complete a work in 5 days and B can complete it in 4 days, how many days will they take to complete the work together?",8.06,2.22,3.45,-0.54,Option B: 2.22,Hard
17850,Pipes and Cisterns,A pipe fills a tank in 7 hours and another empties it in 2 hours. Calculate the time to fill the tank of 33 liters with both pipes open.,11.04,8.08,5.52,6.6,Option D: 6.6,Medium
17851,Numbers,Find the result when you add 42 and 43.,95,85,80,88,Option B: 85,Easy
17852,"Time, Speed, Distance",Find the travel time for 105 km at 22 km/hr.,9.71,4.77,2.21,7.62,Option B: 4.77,Hard
17853,Profit and Loss,A product costs 91 and is sold at a profit of 19%. What is the selling price?,108.29,105.27,113.19,115.68,Option A: 108.29,Easy
17854,"Time, Speed, Distance",A vehicle covers 111 km at 26 km/hr. How much time does it take?,4.27,7.19,8.53,1.98,Option A: 4.27,Medium
17855,Algebra,"Given a = 7, b = 2, and x = 1, compute ax + b.",6,17,9,13,Option C: 9,Medium
17856,Algebra,"Given a = 6, b = 4, and x = 3, compute ax + b.",27,18,32,22,Option D: 22,Medium
17857,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 8 days?,2.7,4.44,6.62,10.09,Option B: 4.44,Easy
17858,Pipes and Cisterns,Find the time required to fill a tank of 42 liters if one pipe fills it in 4 hours and another empties it in 2 hours.,23.9,26.43,19.34,21.0,Option D: 21.0,Medium
17859,Algebra,"Find the result of a * x + b given a = 5, b = 8, x = 5.",35,33,40,31,Option B: 33,Easy
17860,Numbers,Add 39 and 30. What do you get?,69,68,72,75,Option A: 69,Easy
17861,Algebra,"If a = 7, b = 2, and x = 2, what is ax + b?",25,16,11,21,Option B: 16,Hard
17862,Pipes and Cisterns,"If a tank is filled by a pipe in 7 hours and emptied by another in 5 hours, how long will it take to fill the tank of 39 liters when both pipes are open?",25.0,21.61,17.24,19.5,Option D: 19.5,Medium
17863,Profit and Loss,"If the cost price is 83 and the profit percentage is 16%, calculate the selling price.",96.28,100.4,91.68,102.33,Option A: 96.28,Medium
17864,"Time, Speed, Distance",117 km distance is covered at 19 km/hr. Determine the time taken.,4.46,8.41,11.47,6.16,Option D: 6.16,Hard
17865,Pipes and Cisterns,Determine the filling time for a tank of 34 liters given a fill rate of 3 hours and an empty rate of 3 hours.,2.14,5.23,-1.59,0,Option D: 0,Hard
17866,"Time, Speed, Distance","If a vehicle travels 184 km at a speed of 23 km/hr, how long will it take to cover the distance?",6.18,12.2,8.0,9.48,Option C: 8.0,Easy
17867,Percentage,What is 29% of 74?,30.42,21.46,16.97,22.83,Option B: 21.46,Easy
17868,Average,"Find the arithmetic mean of 18, 42, and 56.",38.67,35.8,41.04,44.76,Option A: 38.67,Medium
17869,Numbers,Add 24 and 48. What do you get?,73,72,67,78,Option B: 72,Easy
17870,Average,"What is the mean of the numbers 20, 38, and 83?",43.58,51.38,47.0,55.93,Option C: 47.0,Easy
17871,Average,"Calculate the average value of 39, 69, and 84.",65.5,62.03,72.17,64.0,Option D: 64.0,Hard
17872,"Time, Speed, Distance",53 km distance is covered at 27 km/hr. Determine the time taken.,1.96,7.54,3.14,0.58,Option A: 1.96,Medium
17873,Average,"Calculate the average value of 98, 100, and 94.",96.08,97.33,104.42,101.3,Option B: 97.33,Medium
17874,Ratio and Proportion,Find B given that the ratio of A to B is 3:5 and A equals 22.,36.67,42.25,34.13,38.13,Option A: 36.67,Hard
17875,Numbers,Calculate the total of 14 plus 22.,37,36,35,45,Option B: 36,Medium
17876,Pipes and Cisterns,Determine the filling time for a tank of 52 liters given a fill rate of 6 hours and an empty rate of 5 hours.,54.23,57.03,49.83,52.0,Option D: 52.0,Medium
17877,"Time, Speed, Distance","If a vehicle travels 123 km at a speed of 19 km/hr, how long will it take to cover the distance?",5.39,8.67,6.47,11.03,Option C: 6.47,Easy
17878,Algebra,"What does ax + b equal if a = 7, b = 1, x = 10?",71,77,72,67,Option A: 71,Easy
17879,Pipes and Cisterns,A pipe fills a tank in 2 hours and another empties it in 3 hours. Calculate the time to fill the tank of 32 liters with both pipes open.,-29.9,-32.0,-34.67,-27.31,Option B: -32.0,Medium
17880,Percentage,What is 12% of 193?,23.16,25.2,32.93,18.89,Option A: 23.16,Hard
17881,Profit and Loss,Find the selling price of a product with a cost price of 79 and a 16% profit.,91.64,101.08,87.47,95.73,Option A: 91.64,Medium
17882,Percentage,Find 4% of 79.,10.12,3.16,-0.89,4.93,Option B: 3.16,Hard
17883,Pipes and Cisterns,Determine the filling time for a tank of 46 liters given a fill rate of 7 hours and an empty rate of 1 hours.,10.0,7.67,4.83,12.39,Option B: 7.67,Medium
17884,Ratio and Proportion,Find B given that the ratio of A to B is 3:4 and A equals 15.,20.0,17.29,22.9,25.48,Option A: 20.0,Easy
17885,Pipes and Cisterns,Find the time required to fill a tank of 46 liters if one pipe fills it in 10 hours and another empties it in 1 hours.,7.39,5.11,9.64,3.23,Option B: 5.11,Medium
17886,Numbers,Find the result when you add 15 and 35.,54,50,58,49,Option B: 50,Easy
17887,Ratio and Proportion,A is 35 and the ratio of A to B is 5:2. What is B?,14.0,16.18,12.54,18.24,Option A: 14.0,Medium
17888,Numbers,Add 29 and 21. What do you get?,50,53,59,45,Option A: 50,Easy
17889,Algebra,"If a = 5, b = 5, and x = 10, what is ax + b?",52,57,55,65,Option C: 55,Easy
17890,Ratio and Proportion,Find B given that the ratio of A to B is 5:3 and A equals 13.,5.35,7.8,12.09,9.02,Option B: 7.8,Easy
17891,Percentage,What is 13% of 111?,18.17,14.43,10.63,22.63,Option B: 14.43,Hard
17892,Profit and Loss,A product costs 68 and is sold at a profit of 6%. What is the selling price?,72.08,76.26,80.81,67.55,Option A: 72.08,Hard
17893,Time and Work,"A takes 5 days to finish a work and B takes 8 days. Working together, how many days will they take?",1.71,4.24,3.08,7.6,Option C: 3.08,Medium
17894,Pipes and Cisterns,"A pipe can fill a tank in 2 hours and another pipe can empty it in 3 hours. If both are open, how long will it take to fill the tank of 44 liters?",-39.56,-46.81,-44.0,-42.61,Option C: -44.0,Medium
17895,Time and Work,"Given A can do a work in 8 days and B in 9 days, find the total time they will take working together.",9.42,6.96,4.24,1.52,Option C: 4.24,Medium
17896,Percentage,What is 47% of 121?,52.38,59.39,56.87,66.31,Option C: 56.87,Medium
17897,Ratio and Proportion,A is 30 and the ratio of A to B is 2:3. What is B?,49.83,47.05,43.31,45.0,Option D: 45.0,Easy
17898,Ratio and Proportion,Calculate the value of B if A:B = 2:2 and A = 47.,47.0,52.3,49.82,44.05,Option A: 47.0,Medium
17899,Percentage,What is 43% of 88?,37.84,38.88,35.75,44.12,Option A: 37.84,Medium
17900,Ratio and Proportion,A is 48 and the ratio of A to B is 1:3. What is B?,141.37,146.06,144.0,148.34,Option C: 144.0,Hard
17901,Average,"2, 3, and 52 have an average of:",21.64,26.3,14.68,19.0,Option D: 19.0,Easy
17902,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 2 days individually.,0.11,1.56,3.02,6.97,Option B: 1.56,Hard
17903,Percentage,Determine the value of 19% of 81.,18.85,14.34,15.39,24.8,Option C: 15.39,Hard
17904,"Time, Speed, Distance",Calculate the time taken to travel 126 km at a speed of 20 km/hr.,10.59,6.3,5.25,8.85,Option B: 6.3,Medium
17905,Ratio and Proportion,A is 16 and the ratio of A to B is 2:1. What is B?,8.0,9.65,6.09,12.07,Option A: 8.0,Hard
17906,Pipes and Cisterns,"A pipe can fill a tank in 3 hours and another pipe can empty it in 1 hours. If both are open, how long will it take to fill the tank of 42 liters?",19.43,25.58,21.0,22.89,Option C: 21.0,Easy
17907,Average,"Find the arithmetic mean of 14, 62, and 96.",59.34,53.83,57.33,66.02,Option C: 57.33,Medium
17908,Pipes and Cisterns,A pipe fills a tank in 2 hours and another empties it in 2 hours. Calculate the time to fill the tank of 34 liters with both pipes open.,-1.5,1.41,0,5.2,Option C: 0,Hard
17909,Profit and Loss,"Given a cost price of 79 and a profit percentage of 8%, determine the selling price.",95.07,85.32,83.97,87.03,Option B: 85.32,Hard
17910,Average,"Calculate the average value of 93, 94, and 99.",94.3,100.28,95.33,101.98,Option C: 95.33,Hard
17911,Average,"72, 25, and 94 have an average of:",64.96,72.18,63.67,58.91,Option C: 63.67,Medium
17912,"Time, Speed, Distance",A vehicle covers 134 km at 25 km/hr. How much time does it take?,5.36,2.64,6.93,11.26,Option A: 5.36,Hard
17913,Average,"Find the arithmetic mean of 12, 62, and 86.",58.17,53.33,61.82,52.13,Option B: 53.33,Medium
17914,Percentage,What is 32% of 88?,25.74,37.96,29.83,28.16,Option D: 28.16,Medium
17915,Time and Work,Calculate the time for A and B to complete a work together if A takes 4 days and B takes 4 days individually.,4.31,2.0,6.89,0.29,Option B: 2.0,Easy
17916,Numbers,Find the result when you add 50 and 48.,98,97,108,99,Option A: 98,Easy
17917,Time and Work,How many days will it take for A and B to finish a work together if A takes 3 days and B takes 8 days?,2.18,6.42,0.17,3.83,Option A: 2.18,Medium
17918,Average,"Find the arithmetic mean of 32, 6, and 3.",12.11,18.33,13.67,23.18,Option C: 13.67,Hard
17919,Time and Work,How many days will it take for A and B to finish a work together if A takes 7 days and B takes 1 days?,-2.02,0.88,6.13,2.45,Option B: 0.88,Easy
17920,Numbers,Add 24 and 19. What do you get?,46,49,40,43,Option D: 43,Easy
17921,"Time, Speed, Distance",167 km distance is covered at 26 km/hr. Determine the time taken.,8.83,6.42,10.59,4.31,Option B: 6.42,Medium
17922,Time and Work,"A takes 2 days to finish a work and B takes 2 days. Working together, how many days will they take?",5.48,2.85,1.0,-0.85,Option C: 1.0,Easy
17923,Algebra,"Find the result of a * x + b given a = 2, b = 10, x = 2.",17,11,14,20,Option C: 14,Medium
17924,Ratio and Proportion,"If the ratio of A to B is 1:2 and A is 46, what is B?",89.03,97.59,93.12,92.0,Option D: 92.0,Hard
17925,Percentage,Find 39% of 64.,24.96,28.0,33.9,23.47,Option A: 24.96,Hard
17926,Numbers,Calculate the total of 4 plus 35.,40,35,39,46,Option C: 39,Medium
17927,Pipes and Cisterns,"A pipe can fill a tank in 6 hours and another pipe can empty it in 4 hours. If both are open, how long will it take to fill the tank of 59 liters?",33.74,29.5,26.59,32.08,Option B: 29.5,Easy
17928,Numbers,Calculate the total of 37 plus 20.,65,56,58,57,Option D: 57,Hard
17929,Pipes and Cisterns,Determine the filling time for a tank of 49 liters given a fill rate of 7 hours and an empty rate of 5 hours.,28.55,25.68,23.28,24.5,Option D: 24.5,Easy
17930,Profit and Loss,"If the cost price is 57 and the profit percentage is 6%, calculate the selling price.",57.36,62.65,68.85,60.42,Option D: 60.42,Easy
17931,Pipes and Cisterns,Find the time required to fill a tank of 46 liters if one pipe fills it in 8 hours and another empties it in 4 hours.,9.88,13.01,17.32,11.5,Option D: 11.5,Easy
17932,Profit and Loss,"If the cost price is 86 and the profit percentage is 11%, calculate the selling price.",96.89,95.46,90.53,103.05,Option B: 95.46,Easy
17933,Pipes and Cisterns,"If a tank is filled by a pipe in 9 hours and emptied by another in 5 hours, how long will it take to fill the tank of 40 liters when both pipes are open?",14.18,10.0,7.16,11.22,Option B: 10.0,Easy
17934,"Time, Speed, Distance",Calculate the time taken to travel 185 km at a speed of 11 km/hr.,21.83,14.85,17.93,16.82,Option D: 16.82,Easy
17935,Profit and Loss,Find the selling price of a product with a cost price of 50 and a 5% profit.,60.42,52.5,54.75,49.5,Option B: 52.5,Medium
17936,"Time, Speed, Distance",78 km distance is covered at 10 km/hr. Determine the time taken.,5.83,7.8,10.3,12.46,Option B: 7.8,Hard
17937,Pipes and Cisterns,Determine the filling time for a tank of 32 liters given a fill rate of 7 hours and an empty rate of 4 hours.,15.3,10.67,12.56,7.72,Option B: 10.67,Hard
17938,Ratio and Proportion,"If A:B = 2:1 and A is 23, determine the value of B.",11.5,16.27,13.79,9.77,Option A: 11.5,Medium
17939,"Time, Speed, Distance",Find the travel time for 101 km at 28 km/hr.,2.4,7.95,5.58,3.61,Option D: 3.61,Hard
17940,Ratio and Proportion,"If A:B = 1:4 and A is 33, determine the value of B.",134.74,136.43,130.48,132.0,Option D: 132.0,Easy
17941,Ratio and Proportion,Calculate the value of B if A:B = 5:1 and A = 47.,13.49,11.72,9.4,7.22,Option C: 9.4,Hard
17942,Ratio and Proportion,Find B given that the ratio of A to B is 3:5 and A equals 18.,30.0,32.82,27.93,35.35,Option A: 30.0,Hard
17943,Average,"Find the arithmetic mean of 65, 6, and 57.",45.16,52.57,39.86,42.67,Option D: 42.67,Easy
17944,"Time, Speed, Distance",Find the travel time for 197 km at 12 km/hr.,14.3,16.42,17.55,20.8,Option B: 16.42,Hard
17945,Time and Work,"If A can complete a work in 9 days and B can complete it in 8 days, how many days will they take to complete the work together?",8.79,6.99,4.24,2.7,Option C: 4.24,Medium
17946,Pipes and Cisterns,"A pipe can fill a tank in 6 hours and another pipe can empty it in 3 hours. If both are open, how long will it take to fill the tank of 34 liters?",11.33,14.15,16.43,8.37,Option A: 11.33,Hard
17947,Ratio and Proportion,"If the ratio of A to B is 5:1 and A is 49, what is B?",15.79,8.12,11.36,9.8,Option D: 9.8,Easy
17948,Time and Work,"A takes 6 days to finish a work and B takes 9 days. Working together, how many days will they take?",3.6,2.56,6.16,9.56,Option A: 3.6,Medium
17949,Pipes and Cisterns,Determine the filling time for a tank of 49 liters given a fill rate of 8 hours and an empty rate of 1 hours.,11.82,7.0,9.95,4.41,Option B: 7.0,Easy
17950,Ratio and Proportion,A is 41 and the ratio of A to B is 5:4. What is B?,32.8,38.32,30.24,33.89,Option A: 32.8,Hard
17951,Ratio and Proportion,"If A:B = 4:1 and A is 39, determine the value of B.",12.6,9.75,14.01,8.69,Option B: 9.75,Medium
17952,Numbers,Add 19 and 17. What do you get?,35,39,36,46,Option C: 36,Easy
17953,Algebra,"What does ax + b equal if a = 10, b = 4, x = 2?",24,20,26,30,Option A: 24,Easy
17954,Numbers,14 added to 48 equals what?,65,62,57,69,Option B: 62,Medium
17955,Ratio and Proportion,"If A:B = 3:1 and A is 25, determine the value of B.",13.65,8.33,5.56,9.56,Option B: 8.33,Easy
17956,Average,"Find the arithmetic mean of 75, 84, and 68.",71.82,85.5,75.67,77.45,Option C: 75.67,Medium
17957,Percentage,Determine the value of 41% of 134.,62.65,51.59,54.94,56.66,Option C: 54.94,Easy
17958,Ratio and Proportion,"If the ratio of A to B is 3:1 and A is 45, what is B?",20.47,12.97,17.51,15.0,Option D: 15.0,Easy
17959,Percentage,Determine the value of 23% of 139.,31.97,36.49,40.46,27.68,Option A: 31.97,Medium
17960,Algebra,"Calculate the value of ax + b for a = 3, b = 3, and x = 6.",26,21,31,19,Option B: 21,Easy
17961,Profit and Loss,Find the selling price of a product with a cost price of 73 and a 13% profit.,89.87,82.49,79.97,87.18,Option B: 82.49,Easy
17962,Profit and Loss,"If the cost price is 58 and the profit percentage is 18%, calculate the selling price.",71.81,68.44,65.44,74.96,Option B: 68.44,Medium
17963,Percentage,6% of 58 is what?,0.38,5.57,12.21,3.48,Option D: 3.48,Hard
17964,Time and Work,Calculate the time for A and B to complete a work together if A takes 6 days and B takes 2 days individually.,2.62,-0.67,7.31,1.5,Option D: 1.5,Hard
17965,Percentage,Calculate 46% of 88.,42.85,40.48,49.69,35.76,Option B: 40.48,Easy
17966,"Time, Speed, Distance",Find the travel time for 103 km at 13 km/hr.,8.94,12.98,7.92,5.13,Option C: 7.92,Easy
17967,Average,"Calculate the average value of 94, 19, and 47.",56.6,61.8,53.33,48.81,Option C: 53.33,Hard
17968,Profit and Loss,"If the cost price is 64 and the profit percentage is 9%, calculate the selling price.",66.53,78.96,69.76,72.06,Option C: 69.76,Hard
17969,Pipes and Cisterns,"If a tank is filled by a pipe in 9 hours and emptied by another in 2 hours, how long will it take to fill the tank of 33 liters when both pipes are open?",2.96,7.55,4.71,10.23,Option C: 4.71,Easy
17970,Pipes and Cisterns,"A pipe can fill a tank in 7 hours and another pipe can empty it in 2 hours. If both are open, how long will it take to fill the tank of 32 liters?",6.4,5.19,11.32,7.83,Option A: 6.4,Hard
17971,Algebra,"If a = 7, b = 5, and x = 2, what is ax + b?",17,19,27,24,Option B: 19,Medium
17972,Time and Work,"Given A can do a work in 10 days and B in 9 days, find the total time they will take working together.",4.74,7.03,9.95,2.51,Option A: 4.74,Medium
17973,Profit and Loss,What would be the selling price if the cost price is 98 and profit is 13%?,110.74,113.98,109.35,120.61,Option A: 110.74,Easy
17974,Time and Work,"Given A can do a work in 4 days and B in 5 days, find the total time they will take working together.",2.22,3.24,6.26,-0.74,Option A: 2.22,Medium
17975,"Time, Speed, Distance",187 km distance is covered at 26 km/hr. Determine the time taken.,9.65,7.19,5.97,11.27,Option B: 7.19,Medium
17976,Time and Work,"Given A can do a work in 10 days and B in 5 days, find the total time they will take working together.",3.33,1.71,5.63,8.58,Option A: 3.33,Hard
17977,Ratio and Proportion,"If A:B = 3:5 and A is 40, determine the value of B.",66.67,71.55,68.43,64.59,Option A: 66.67,Hard
17978,Algebra,"What does ax + b equal if a = 10, b = 3, x = 5?",61,57,50,53,Option D: 53,Medium
17979,Time and Work,"A takes 4 days to finish a work and B takes 7 days. Working together, how many days will they take?",2.55,4.09,7.84,0.55,Option A: 2.55,Hard
17980,Numbers,Add 30 and 35. What do you get?,60,69,65,72,Option C: 65,Hard
17981,Percentage,49% of 55 is what?,31.43,24.41,35.59,26.95,Option D: 26.95,Medium
17982,Pipes and Cisterns,Determine the filling time for a tank of 37 liters given a fill rate of 6 hours and an empty rate of 4 hours.,23.9,19.71,18.5,17.14,Option C: 18.5,Hard
17983,Algebra,"If a = 2, b = 1, and x = 7, what is ax + b?",15,10,23,18,Option A: 15,Medium
17984,Profit and Loss,A product costs 100 and is sold at a profit of 10%. What is the selling price?,110.0,106.85,117.16,113.69,Option A: 110.0,Easy
17985,Average,"Calculate the average value of 48, 86, and 94.",83.51,78.16,71.28,76.0,Option D: 76.0,Hard
17986,Profit and Loss,A product costs 84 and is sold at a profit of 12%. What is the selling price?,101.25,92.15,94.08,96.16,Option C: 94.08,Hard
17987,Algebra,"Given a = 6, b = 3, and x = 2, compute ax + b.",18,10,15,21,Option C: 15,Hard
17988,Algebra,"If a = 5, b = 6, and x = 6, what is ax + b?",41,45,36,35,Option C: 36,Easy
17989,Ratio and Proportion,"If the ratio of A to B is 1:5 and A is 34, what is B?",172.4,175.16,170.0,168.03,Option C: 170.0,Medium
17990,Percentage,Determine the value of 9% of 137.,8.2,16.8,20.5,12.33,Option D: 12.33,Medium
17991,Profit and Loss,Find the selling price of a product with a cost price of 54 and a 10% profit.,59.4,66.55,63.77,57.83,Option A: 59.4,Hard
17992,Time and Work,"If A can complete a work in 10 days and B can complete it in 2 days, how many days will they take to complete the work together?",1.67,-0.04,6.22,3.84,Option A: 1.67,Medium
17993,Percentage,Calculate 45% of 199.,96.34,89.55,90.98,86.01,Option B: 89.55,Hard
17994,Average,"Calculate the average value of 52, 24, and 63.",54.72,45.03,51.09,46.33,Option D: 46.33,Hard
17995,Profit and Loss,Find the selling price of a product with a cost price of 71 and a 5% profit.,74.55,84.32,70.15,77.04,Option A: 74.55,Easy
