Serial Number,Topic,Question,Answer
4517,Average,"What is the average of the cubes of these numbers: [1, 3, 1, 3]?",14.0
4518,Ratio and Proportion,"If a is 3 times b, and the ratio is 5:48, what is the value of a?",144
4519,Average,"Find the average of the following numbers, excluding the largest and smallest: [1, 8, 37, 89, 24].",31.8
4520,Ratio and Proportion,"Solve for b in the ratio 52:25, when a = 1.",0.4807692307692308
4521,Time Speed Distance,"If a vehicle moves at 69 km/h for 7 hours, what is the distance covered?",483
4522,Pipes and Cisterns,"Pipe A fills a tank in 33 hours, Pipe B in 13 hours, and Pipe C empties it in 34 hours. If all three are used for 6 hours, how much of the tank is filled?",0.64
4523,Pipes and Cisterns,"Calculate the time required to fill a tank if Pipe A fills it in 48 hours, Pipe B fills it in 12 hours, and Pipe C empties it in 31 hours.",9.6
4524,Average,"Calculate the average of the reciprocals of the numbers: [2, 4, 1, 2].",1.78
4525,Time Speed Distance,A car drives for 3 hours at 30 km/h. Calculate the distance traveled.,90
4526,Numbers,Can 82 be both a prime and a composite number?,No
4527,Algebra,Find the value of x in the linear equation 10x + -4 = 2.,0.4
4528,Time Speed Distance,A vehicle travels at 62 km/h and then slows down to 46 km/h for 3 hours. What is the total distance?,510
4529,Time Speed Distance,A car is moving at a speed of 80 km/h for 10 hours. How far does it travel?,800
4530,Average,"What is the average of the given numbers: [42, 74, 71, 96, 97]?",76.0
4531,Time Speed Distance,"At a speed of 77 km/h, how far will a car travel in 10 hours?",770
4532,Average,"What is the average of the cubes of these numbers: [5, 3, 4, 2]?",56.0
4533,Profit and Loss,Find the selling price if the cost price is 454 and the profit is 16%.,Profit of -275
4534,Algebra,Solve the quadratic equation 8x² + 9x + -7 = 0.,"(0.53, -1.65)"
4535,Average,"Find the average of the following numbers, excluding the largest and smallest: [38, 60, 87, 100, 31].",63.2
4536,Numbers,"If 66 and 13 are integers, is their sum a natural number?",Yes
4537,Percentage,"If a value is 779, what will 93% of it be?",7244700
4538,Percentage,"If 66% of a number is 3483, what is the number?",5277.272727272727
4539,Ratio and Proportion,"If a = 94, what is the ratio of a to b when b = 12?",235.0
4540,Percentage,Calculate the percentage increase from 328 to 391.,19.20731707317073
4541,Algebra,"If 9x + -1 = -1, find the value of x.",0.0
4542,Numbers,Determine whether the sum of 75 and 96 is a composite number.,Yes
4543,Time and Work,Calculate the time taken if 8 work for 21 days and then 4 complete the remaining work.,32.0
4544,Numbers,"If 64 is divisible by 9, is it a composite number?",Yes
4545,Ratio and Proportion,"If the ratio of a to b is 27:22, and b = 25, what is the value of a?",30.681818181818183
4546,Algebra,Solve the quadratic equation 5x² + 1x + -9 = 0.,"(1.25, -1.45)"
4547,Time and Work,9 people finish a task in 23 days. How long will 1 person take?,207
4548,Algebra,Determine the solution to the equation 2x + -7 = 10.,8.5
4549,Time and Work,"If 5 people can do a job in 11 days, how many days will 2 take?",27.5
4550,Numbers,Is 71 an integer?,Yes
4551,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 33 hours, but Pipe B empties it in 29 hours, and both are used simultaneously?",14.22
4552,Profit and Loss,"If a product costs 269 and sells for 810, what is the profit/loss?",Loss of 541
4553,Algebra,Find the value of x in the linear equation 1x + 4 = 6.,-4.0
4554,Numbers,Is the number 77 both prime and an integer?,No
4555,Numbers,Is the number 92 both prime and an integer?,No
4556,Time and Work,"If 8 can do a job in 20 days, how long will 4 take if they work twice as fast?",40.0
4557,Average,"Determine the mean of the following set of numbers [81, 88, 61, 49, 100] after increasing each by 1.",76.8
4558,Percentage,What is 4% of 907?,362800
4559,Time and Work,How long will it take for 4 to complete a job if they work 0.3 of the time and 2 work the rest?,103.33
4560,Ratio and Proportion,"Given the ratio 65:94 and a = 37, what is b?",53.50769230769231
4561,Percentage,"If 80% of a number is added to the number, what is the result?",4336.25
4562,Pipes and Cisterns,"Pipe A can fill a tank in 42 hours, and Pipe B in 36 hours, but Pipe C can empty it in 27 hours. Find the time taken to fill the tank if all three pipes are used.",68.73
4563,Percentage,"If the original price is 816, what is 94% discount?",48.960000000000036
4564,Algebra,"If 6x + 0 = -9, find the value of x.",-1.5
4565,Time and Work,Calculate the number of days required for 12 to complete the same work done by 6 in 13 days.,6.5
4566,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 68.25 km/h for 28 hours.,340
4567,Average,"Calculate the average of the reciprocals of the numbers: [3, 7, 10, 5].",5.15
4568,Pipes and Cisterns,"If Pipe A fills a tank in 37 hours, and Pipe B can fill 0.84 of it in 28 hours, how long will it take both pipes to fill the tank?",35.19
4569,Profit and Loss,What is the cost price if a product is sold for 390 at a profit of 6?,Profit of -479
4570,Percentage,What percentage of 1718 is 923?,53.725261932479626
4571,Average,"Calculate the weighted average if the weights are [7, 7, 2, 1, 7] and the corresponding numbers are [66, 41, 19, 31, 81].",57.71
4572,Time and Work,"If 8 can do 0.4 of a job in 15 days, how long will it take them to complete the whole job?",37.5
4573,Percentage,What percentage of 3164 is 839?,26.517067003792665
4574,Time Speed Distance,Determine the distance covered by a train traveling at 50 km/h for 2 hours.,100
4575,Time and Work,Calculate the number of days required for 6 to complete the same work done by 3 in 48 days.,24.0
4576,Percentage,"If 57% of a number is 8500, what is the number?",14912.280701754386
4577,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 20 and 48 hours, respectively?",14.12
4578,Profit and Loss,"Calculate the profit or loss if a product is bought for 652, marked at 1865, and sold for 301.",Loss of 351
4579,Algebra,Calculate x in the equation 6x + 7 = -6.,-2.1666666666666665
4580,Ratio and Proportion,"If the ratio of a to b is 56:11, and b = 11, what is the value of a?",56.0
4581,Time Speed Distance,Calculate the time taken to travel 679 km at a speed of 97 km/h.,7.0
4582,Profit and Loss,What is the profit/loss percentage if the cost price is 162 and the selling price is 894?,Loss of 732
4583,Percentage,"If the original price is 343, what is 23% discount?",264.11
4584,Algebra,Find the roots of the equation 6x² + 7x + 1 = 0.,"(-0.17, -1.0)"
4585,Ratio and Proportion,Find the value of c if the ratio 93:74 = 36.445945945945944:27 and b = 29.,36.445945945945944
4586,Ratio and Proportion,"Solve for b in the ratio 11:59, when a = 35.",187.72727272727272
4587,Numbers,Find the next composite number after 60.,Yes
4588,Numbers,Is the product of 80 and 96 a composite number?,No
4589,Time Speed Distance,"If a vehicle accelerates from 80 km/h to 100 km/h over 1 hours, what is the distance covered in the first 1 hours?",90.0
4590,Time Speed Distance,"If a vehicle moves at 50 km/h for 1 hours, what is the distance covered?",50
4591,Ratio and Proportion,"If a = 13, what is the ratio of a to b when b = 8?",15.166666666666666
4592,Ratio and Proportion,What is the new value of a if the ratio of a to b is 11:75 and b is increased to 80?,334.09090909090907
4593,Percentage,What is 96% of 201?,1929600
4594,Ratio and Proportion,Find the value of c if the ratio 58:84 = 43.5:95 and b = 63.,43.5
4595,Time Speed Distance,A car drives for 8 hours at 57 km/h. Calculate the distance traveled.,456
4596,Average,"Calculate the weighted average if the weights are [8, 8, 4, 1, 9] and the corresponding numbers are [43, 64, 79, 51, 95].",69.27
4597,Time and Work,"If 9 people can do 0.1 of a job in 20 days, how long will 4 take to do the entire job?",45.0
4598,Profit and Loss,What is the profit if the selling price is 398 and the cost price is 277?,Profit of 121
4599,Algebra,Calculate x: 2x + 10 = 0.,-9.5
4600,Profit and Loss,A product is sold at a profit percentage of 7 after buying it at 406. What is the selling price?,Profit of 401
4601,Percentage,Calculate the percentage decrease when a value drops from 584 to 798.,-36.64383561643836
4602,Pipes and Cisterns,"Pipes A and B can fill a tank in 34 hours and 36 hours, respectively. How long will it take if both pipes are used?",17.49
4603,Algebra,Solve the equation 2x² + 2x + 4 = 0 for x.,No real roots
4604,Percentage,What is 57% of 785?,4474500
4605,Numbers,Is the difference between 99 and 91 an integer?,Yes
4606,Profit and Loss,"If the cost price of a product is 438 and it is sold after a discount of 29% on the marked price of 1029, calculate the profit/loss.",Loss of 309
4607,Algebra,Determine the value of x if 7x + 2 = 10.,1.1428571428571428
4608,Time Speed Distance,A car covers 141 km at 77 km/h and 185 km at 21 km/h. Find the total time taken.,42
4609,Numbers,Is 92 a perfect square and an integer?,Yes
4610,Profit and Loss,"The cost price of a product is 227, and it is sold at 446. Find the profit or loss percentage.",96.48%
4611,Ratio and Proportion,Determine the ratio of a to b when a = 95 and b = 14.,197.91666666666666
4612,Algebra,"If 8x + -9 = 1, what is the value of x?",1.25
4613,Time and Work,"If 8 people can do 0.4 of a job in 10 days, how long will 4 take to do the entire job?",20.0
4614,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 50 hours, but Pipe B empties it in 24 hours, and both are used simultaneously?",17.11
4615,Time Speed Distance,"At a speed of 38 km/h, how far will a car travel in 5 hours?",190
4616,Numbers,Is 31 a prime number?,Yes
4617,Ratio and Proportion,"Solve for b in the ratio 91:92, when a = 19.",19.208791208791208
4618,Algebra,Find the roots of the equation 7x² + 6x + 10 = 0.,No real roots
4619,Time and Work,Determine the time taken if 2 work half the time and 4 work the other half to complete the job in 13 days.,6.67
4620,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 15 hours, Pipe B in 17 hours, and Pipe C empties it in 46 hours.",7.97
4621,Pipes and Cisterns,"If Pipe A fills a tank in 41 hours and Pipe B in 27 hours, how long will both pipes take together?",16.28
4622,Ratio and Proportion,"If the ratio 99:82 is equivalent to the ratio 45:95, find the value of b given a = 50.",37.27272727272727
4623,Pipes and Cisterns,"If Pipe A can fill a tank in 45 hours, and Pipe B can empty it in 42 hours, find the time required to fill the tank if both are used together for 13 hours.",-0.02
4624,Algebra,Solve for x: 8x + -5 = 0,0.625
4625,Profit and Loss,"The cost price of a product is 777, and it is sold at 522. Find the profit or loss percentage.",-32.82%
4626,Percentage,"If 1% of 934 is added and then 97% is subtracted, what is the result?",28.300200000000025
4627,Profit and Loss,A product was bought for 285 and sold for 152. Calculate profit or loss.,Loss of 133
4628,Percentage,"If the original price is 534, what is 62% discount?",202.92000000000002
4629,Time and Work,Calculate the total time if 6 work for 6 days and then 18 complete the rest of the work.,8.0
4630,Time Speed Distance,How long will it take to cover 177 km if the speed is reduced by 48 km/h?,16.09
4631,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 32 and 42 hours, respectively?",18.16
4632,Numbers,Is the product of 48 and 27 a composite number?,Yes
4633,Ratio and Proportion,"Given the ratio 17:20, find the value of c when b = 2 and a is doubled.",34
4634,Ratio and Proportion,Determine the ratio of a to b when a = 60 and b = 82.,28.846153846153847
4635,Profit and Loss,"If a product costs 880 and sells for 173, what is the profit/loss?",Loss of 707
4636,Percentage,Determine the value when 892 is increased by 32% and then decreased by 97%.,1177.44
4637,Percentage,"If 726 is reduced by 49%, what is the resulting value?",370.26
4638,Ratio and Proportion,"If the ratio 59:11 is tripled, what are the new values of a and b?",177:33
4639,Ratio and Proportion,"If the ratio of a to b is 55:35, and a is increased by 8, what is the new value of b?",50.90909090909091
4640,Pipes and Cisterns,"If Pipe A can fill a tank in 45 hours, and Pipe B can empty it in 21 hours, find the time required to fill the tank if both are used together for 20 hours.",-0.51
4641,Profit and Loss,What is the profit/loss percentage if the cost price is 265 and the selling price is 817?,Loss of 552
4642,Time Speed Distance,A car is moving at a speed of 65 km/h for 7 hours. How far does it travel?,455
4643,Percentage,Calculate the percentage decrease when a value drops from 120 to 522.,-335.0
4644,Pipes and Cisterns,Calculate the time to fill 0.24 of a tank if Pipe A fills it in 40 hours and Pipe B empties 0.76 of it in 37 hours.,40.76
4645,Algebra,Solve for x in the equation 7x + 2 = -2 when 7 ≠ 0.,-0.2857142857142857
4646,Profit and Loss,A product is marked at 1499 and sold at 169. What is the profit or loss?,Loss of 61
4647,Time Speed Distance,"If a vehicle accelerates from 54 km/h to 112 km/h over 3 hours, what is the distance covered in the first 1 hours?",83.0
4648,Time and Work,"Determine the time taken if 18 start the work, but 4 complete it in 47 days.",47
4649,Profit and Loss,"If the cost price of a product is 720 and it is sold after a discount of 50% on the marked price of 1960, calculate the profit/loss.",Loss of 147
4650,Profit and Loss,What is the profit if the selling price is 804 and the cost price is 316?,Profit of 488
4651,Ratio and Proportion,"If the ratio 48:67 is tripled, what are the new values of a and b?",144:201
4652,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 10 hours, but Pipe B empties it in 50 hours, and both are used simultaneously?",6.67
4653,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 44 hours, Pipe B in 11 hours, and Pipe C empties it in 34 hours.",8.8
4654,Time and Work,Calculate the time taken if 6 work for 23 days and then 3 complete the remaining work.,34.5
4655,Numbers,Is 14 a perfect square and also a prime number?,No
4656,Time and Work,Calculate the time taken if 4 work for 21 days and then 2 complete the remaining work.,31.5
4657,Ratio and Proportion,"If a = 77, what is the ratio of a to b when b = 11?",295.1666666666667
4658,Numbers,Is the number 11 both prime and an integer?,Yes
4659,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 41 hours, and Pipe B in 25 hours, but Pipe C empties it in 11 hours, and all three are used for 19 hours.",1.22
4660,Time and Work,"If 6 can do a job in 15 days, how long will 3 take if they work twice as fast?",30.0
4661,Algebra,Solve the linear equation 9x + 6 = -9.,-1.6666666666666667
4662,Time Speed Distance,Calculate the total distance if a car travels for 8 hours at a constant speed of 44 km/h.,352
4663,Pipes and Cisterns,"If Pipe A can fill a tank in 14 hours, and Pipe B can empty it in 30 hours, find the time required to fill the tank if both are used together for 7 hours.",0.27
4664,Time Speed Distance,"If a car accelerates from 90 km/h to 144 km/h in 8 hours, what is the total distance covered?",696
4665,Time Speed Distance,What is the average speed of a car that covers 102 km in 2 hours?,102
4666,Average,"Determine the mean of the following set of numbers [48, 27, 93, 60, 55] after increasing each by 9.",65.6
4667,Time Speed Distance,A car is moving at a speed of 23 km/h for 7 hours. How far does it travel?,161
4668,Profit and Loss,What is the profit/loss percentage if the cost price is 670 and the selling price is 991?,Loss of 321
4669,Average,"Find the mean value if 7 is added to each of the numbers in the set [25, 84, 50, 10, 27].",46.2
4670,Algebra,"If 1x + -2 = 0, what is the value of x?",2.0
4671,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 23 and 35 hours, respectively?",13.88
4672,Algebra,"For the equation 3x + -7 = 0, find x.",0.6666666666666666
4673,Profit and Loss,A product was bought for 313 and sold for 237. Calculate profit or loss.,Loss of 76
4674,Time and Work,"If 3 people can do a job in 47 days, how long will it take if 6 people work?",23.5
4675,Average,"Calculate the geometric mean of the numbers: [6, 4, 1, 8].",3.72
4676,Pipes and Cisterns,"If Pipe A fills a tank in 40 hours, and Pipe B can fill 0.55 of it in 47 hours, how long will it take both pipes to fill the tank?",42.87
4677,Pipes and Cisterns,Calculate the time to fill 0.23 of a tank if Pipe A fills it in 40 hours and Pipe B empties 0.77 of it in 40 hours.,29.18
4678,Time and Work,"If 6 people complete a task in 50 days, how long will it take if 18 people are involved?",16.67
4679,Percentage,A price increased by 71% and then decreased by 60%. Find the final price.,711.36
4680,Numbers,Can 94 be both a prime and a composite number?,No
4681,Numbers,Is 91 a perfect square and an integer?,Yes
4682,Pipes and Cisterns,Determine the time required to fill 0.79 of a tank if Pipe A can fill the whole tank in 21 hours and Pipe B in 48 hours.,23.81
4683,Time Speed Distance,Determine the distance covered by a train traveling at 31 km/h for 8 hours.,248
4684,Pipes and Cisterns,"Pipe A can fill 0.86 of a tank in 26 hours, and Pipe B fills the rest in 28 hours. Find the total time to fill the tank.",26.26
4685,Profit and Loss,What is the loss if the cost price is 128 and the selling price is 521?,Loss of 393
4686,Average,"Find the mean value if 4 is added to each of the numbers in the set [23, 29, 70, 81, 18].",48.2
4687,Time and Work,8 people can complete a work in 36 days. How many days will 1 person take to complete the same work?,288
4688,Pipes and Cisterns,"If Pipe A fills a tank in 43 hours and Pipe B in 44 hours, how long will both pipes take together?",21.75
4689,Ratio and Proportion,"If a is 4 times b, and the ratio is 33:87, what is the value of a?",348
4690,Ratio and Proportion,"If the ratio of a to b is 21:26, and a = 82, what is the value of b?",101.52380952380952
4691,Numbers,Is 89 an integer?,Yes
4692,Time Speed Distance,"Calculate the distance covered if a car travels at 32 km/h for 5 hours, then stops for 4 hours, and continues at 55 km/h.",160
4693,Percentage,Calculate the percentage increase from 216 to 626.,189.8148148148148
4694,Average,"Determine the mean of the following set of numbers [85, 82, 80, 28, 7] after increasing each by 3.",59.4
4695,Time and Work,"Determine the time taken if 6 start the work, but 1 complete it in 37 days.",37
4696,Percentage,What percentage of 2519 is 419?,16.633584755855498
4697,Numbers,Is the product of 8 and 34 a composite number?,Yes
4698,Time and Work,Calculate the time taken if 6 work for 9 days and then 3 complete the remaining work.,14.0
4699,Percentage,"If the original price is 955, what is 17% discount?",792.65
4700,Numbers,Is 40 a perfect square and also a prime number?,No
4701,Algebra,Solve the linear equation 2x + 3 = 3.,0.0
4702,Algebra,Solve for x: 10x + 10 = 0,-1.0
4703,Pipes and Cisterns,"Pipe A fills a tank in 36 hours, Pipe B in 11 hours, and Pipe C empties it in 12 hours. If all three are used for 2 hours, how much of the tank is filled?",0.24
4704,Ratio and Proportion,"If a = 60, what is the ratio of a to b when b = 67?",5.714285714285714
4705,Pipes and Cisterns,"If Pipe A can fill a tank in 37 hours, and Pipe B can empty it in 11 hours, find the time required to fill the tank if both are used together for 16 hours.",-1.02
4706,Algebra,Determine the solution to the equation 9x + 4 = 3.,-0.1111111111111111
4707,Algebra,Determine the value of x if 7x + -3 = 1.,0.5714285714285714
4708,Algebra,"For the equation 8x + 6 = -2, calculate x.",-1.0
4709,Ratio and Proportion,"If the ratio of a to b is 94:1, and b = 14, what is the value of a?",1316.0
4710,Time Speed Distance,What is the average speed of a car that covers 54 km in 1 hours?,54
4711,Time Speed Distance,"At a speed of 88 km/h, how far will a car travel in 7 hours?",616
4712,Average,"Calculate the harmonic mean of the following numbers: [21, 58, 35, 44].",34.44
4713,Numbers,Determine if 35 is a prime or composite number.,No
4714,Ratio and Proportion,Determine the original values of a and b if their ratio is 2:9 and their sum is 11.,2:9
4715,Numbers,Is 7 a perfect square and an integer?,Yes
4716,Profit and Loss,"If the cost price is 182 and the loss percentage is 40%, what is the selling price?",Loss of 360
4717,Ratio and Proportion,"If a is 5 times b, and the ratio is 100:56, what is the value of a?",280
4718,Pipes and Cisterns,"If Pipe A fills a tank in 35 hours, and Pipe B can fill 0.5 of it in 15 hours, how long will it take both pipes to fill the tank?",21.0
4719,Numbers,Determine whether the sum of 48 and 29 is a composite number.,Yes
4720,Profit and Loss,A product was bought for 279 and sold for 366. Calculate profit or loss.,Profit of 87
4721,Time Speed Distance,How far will a car travel if it goes at 54 km/h for 10 hours?,540
4722,Algebra,Solve for x: 3x = 0.,0.0
4723,Profit and Loss,What is the cost price if a product is sold for 490 at a profit of 28?,Profit of -113
4724,Average,"Determine the mean of the following set of numbers [12, 51, 91, 18, 54] after increasing each by 3.",48.2
4725,Numbers,Find the next composite number after 37.,No
4726,Time Speed Distance,Determine the speed required to cover 136 km in 4 hours.,136
4727,Profit and Loss,"If a discount of 5% is given on 1737, and the selling price is 789, find the profit/loss.",Loss of 274
4728,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 49 and 41 hours, respectively?",22.32
4729,Ratio and Proportion,"If the ratio 47:64 is tripled, what are the new values of a and b?",141:192
4730,Pipes and Cisterns,"If Pipe A can fill a tank in 21 hours, and Pipe B can empty it in 21 hours, find the time required to fill the tank if both are used together for 20 hours.",0.0
4731,Profit and Loss,"Calculate the profit or loss if a product is bought for 924, marked at 1638, and sold for 211.",Loss of 713
4732,Algebra,Find the solution to the equation 7x² + 10x + -8 = 0.,"(0.57, -2.0)"
4733,Average,"Find the mean value if 1 is added to each of the numbers in the set [41, 32, 79, 52, 86].",59.0
4734,Numbers,Is the number 23 divisible by any number other than 1 and itself?,No
4735,Average,Determine the average of the first 7 natural numbers.,56.2
4736,Time and Work,9 people finish a task in 13 days. How long will 1 person take?,117
4737,Profit and Loss,"If a product's marked price is 1738 and it is sold at a discount of 19%, find the profit or loss.",Loss of 228
4738,Numbers,Determine if 15 is a prime or composite number.,No
4739,Numbers,Can 80 be both a prime and a composite number?,No
4740,Percentage,Find the original value if 81% of it equals 7101.,8766.666666666668
4741,Time Speed Distance,"If a car travels for 10 hours at 37 km/h and then for 8 hours at 45 km/h, what is the total distance?",820
4742,Pipes and Cisterns,"Pipe A fills a tank in 14 hours, Pipe B in 40 hours, and Pipe C empties it in 42 hours. If all three are used for 13 hours, how much of the tank is filled?",1.25
4743,Pipes and Cisterns,Determine the time required to fill 0.4 of a tank if Pipe A can fill the whole tank in 46 hours and Pipe B in 49 hours.,47.75
4744,Profit and Loss,A product is marked at 1015 and sold at 104. What is the profit or loss?,Loss of 771
4745,Average,"Find the average of [74, 14, 100, 73, 64] after removing the highest and lowest values.",70.33
4746,Time Speed Distance,A car covers 138 km at 31 km/h and 127 km at 87 km/h. Find the total time taken.,234
4747,Profit and Loss,What is the loss if the cost price is 380 and the selling price is 760?,Loss of 380
4748,Algebra,Find the solution to the equation 8x² + 1x + -2 = 0.,"(0.44, -0.57)"
4749,Algebra,Determine the solution to the equation 3x + 10 = 9.,-0.3333333333333333
4750,Time Speed Distance,How long will it take to cover 790 km if the speed is reduced by 50 km/h?,27.24
4751,Time Speed Distance,A vehicle travels at 69 km/h and then slows down to 62 km/h for 3 hours. What is the total distance?,324
4752,Profit and Loss,What is the cost price if a product is sold for 686 at a profit of 36?,Profit of 289
4753,Time and Work,"Determine the time taken if 16 start the work, but 4 complete it in 47 days.",47
4754,Ratio and Proportion,Find the value of c if the ratio 8:3 = 130.66666666666666:18 and b = 49.,130.66666666666666
4755,Time Speed Distance,A car covers 140 km at 84 km/h and 133 km at 32 km/h. Find the total time taken.,760
4756,Ratio and Proportion,"If the ratio 99:45 is tripled, what are the new values of a and b?",297:135
4757,Pipes and Cisterns,"Pipe A fills a tank in 42 hours, Pipe B in 45 hours, and Pipe C empties it in 19 hours. If all three are used for 6 hours, how much of the tank is filled?",0.28
4758,Percentage,Calculate the percentage decrease when a value drops from 970 to 959.,1.134020618556701
4759,Ratio and Proportion,Determine the ratio of a to b when a = 2 and b = 96.,6.666666666666667
4760,Ratio and Proportion,"Solve for b in the ratio 73:64, when a = 42.",36.821917808219176
4761,Time and Work,"For a job done by 3 people in 50 days, how many days would one person need?",150
4762,Percentage,Determine the percentage change from 105 to 310.,195.23809523809524
4763,Pipes and Cisterns,"If Pipe A can fill a tank in 14 hours, and Pipe B in 47 hours, but Pipe C empties 0.31 of the tank in 35 hours, find the time to fill the tank.",27.16
4764,Percentage,Determine the percentage change from 808 to 766.,-5.198019801980198
4765,Ratio and Proportion,Find the new ratio if a and b are multiplied by 5 and 2 respectively.,50:156
4766,Profit and Loss,"If a discount of 36% is given on 1174, and the selling price is 344, find the profit/loss.",Loss of 225
4767,Average,"If the average of 28, 78, and 73 is 59.666666666666664, what is the total sum?",179.0
4768,Time Speed Distance,A car covers 191 km at 76 km/h and 68 km at 23 km/h. Find the total time taken.,255
4769,Profit and Loss,"If the cost price of a product is 221 and it is sold after a discount of 42% on the marked price of 1748, calculate the profit/loss.",Loss of 695
4770,Ratio and Proportion,Determine the ratio of a to b when a = 10 and b = 95.,14.0
4771,Profit and Loss,"Calculate the marked price if a discount of 45% leads to a selling price of 624.8000000000001, given the cost price is 233.",Profit of 391.80
4772,Pipes and Cisterns,"Pipe A can fill a tank in 27 hours, and Pipe B in 12 hours, but Pipe C can empty it in 10 hours. Find the time taken to fill the tank if all three pipes are used.",49.09
4773,Profit and Loss,Find the selling price if the cost price is 837 and the profit is 43%.,Profit of -413
4774,Profit and Loss,What is the cost price if a product is sold for 502 at a profit of 38?,Profit of 19
4775,Profit and Loss,"If a product is sold at a loss of 7%, what was its cost price if the selling price is 282?",Loss of 696
4776,Time and Work,"For a job done by 7 people in 39 days, how many days would one person need?",273
4777,Percentage,"If 54% of 428 is added and then 79% is subtracted, what is the result?",138.41519999999997
4778,Algebra,Find the value of x in the linear equation 3x + 4 = 7.,-1.3333333333333333
4779,Numbers,Is 71 a perfect square and also a prime number?,Yes
4780,Profit and Loss,"If the cost price is 921 and the loss percentage is 37%, what is the selling price?",Loss of 235
4781,Numbers,Is the number 61 both prime and an integer?,Yes
4782,Numbers,What is the next integer after 18?,Yes
4783,Pipes and Cisterns,Determine the time required to fill 0.27 of a tank if Pipe A can fill the whole tank in 48 hours and Pipe B in 26 hours.,29.67
4784,Average,"What is the average of the given numbers: [5, 27, 19, 37, 57]?",29.0
4785,Time Speed Distance,Calculate the time taken to travel 230 km at a speed of 23 km/h.,10.0
4786,Time and Work,Determine the time taken if 30 work twice as fast as 10 to complete the job in 30 days.,10.0
4787,Algebra,"For the equation 4x + 10 = 0, find x.",-3.0
4788,Numbers,Is 6 a natural number?,Yes
4789,Average,"Find the mean value if 6 is added to each of the numbers in the set [95, 84, 24, 61, 33].",65.4
4790,Algebra,Solve the linear equation 8x + 8 = -2.,-1.25
4791,Percentage,Find the original value if 45% of it equals 8325.,18500.0
4792,Ratio and Proportion,"If a is 4 times b, and the ratio is 85:14, what is the value of a?",56
4793,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 49 hours, and Pipe B in 17 hours, but Pipe C empties it in 36 hours, and all three are used for 21 hours.",1.66
4794,Time and Work,How many days will it take for 1 person to do a job if 2 people can do it in 17 days?,34
4795,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 16:4, and the sum of a and b is 20.",16
4796,Percentage,A price increased by 83% and then decreased by 74%. Find the final price.,834.48
4797,Average,"If the average of 56, 7, and ? is 79, find the missing number if one is unknown.",174
4798,Percentage,"If 10% of a value is 2638, what would 30% of the same value be?",161.56800000000004
4799,Time and Work,Determine the time taken if 15 work twice as fast as 5 to complete the job in 32 days.,10.67
4800,Time and Work,How many days will it take for 1 person to do a job if 10 people can do it in 36 days?,360
4801,Percentage,Calculate the percentage increase from 414 to 638.,54.106280193236714
4802,Percentage,Determine the value when 810 is increased by 23% and then decreased by 99%.,996.3
4803,Average,"What is the average of the square of these numbers: [10, 7, 6, 4, 6]?",47.4
4804,Time Speed Distance,A car drives for 6 hours at 64 km/h. Calculate the distance traveled.,384
4805,Percentage,"If the original price is 682, what is 53% discount?",320.53999999999996
4806,Average,"Calculate the weighted average if the weights are [8, 1, 3, 4, 3] and the corresponding numbers are [58, 84, 31, 56, 56].",54.37
4807,Numbers,Is 55 a prime number if it is greater than 57?,No
4808,Profit and Loss,A product was bought for 407 and sold for 169. Calculate profit or loss.,Loss of 238
4809,Time and Work,How many days will it take for 1 person to do a job if 2 people can do it in 38 days?,76
4810,Ratio and Proportion,"If a is 3 times b, and the ratio is 61:78, what is the value of a?",234
4811,Ratio and Proportion,"Given the ratio 45:31 and a = 92, what is b?",63.37777777777778
4812,Time Speed Distance,A car covers 136 km at 34 km/h and 179 km at 96 km/h. Find the total time taken.,90
4813,Percentage,Calculate 72% of 414.,2980800
4814,Ratio and Proportion,Solve for the ratio 62:82 if a + b = 10 and a = 1.,9
4815,Numbers,Is the product of 98 and 65 a composite number?,Yes
4816,Time Speed Distance,Determine the distance covered by a train traveling at 36 km/h for 2 hours.,72
4817,Percentage,Calculate the percentage increase from 540 to 287.,-46.85185185185185
4818,Ratio and Proportion,"If the ratio of a to b is 96:52, and a = 31, what is the value of b?",16.791666666666668
4819,Time Speed Distance,Calculate the total distance if a car travels for 9 hours at a constant speed of 77 km/h.,693
4820,Time Speed Distance,How long will it take to cover 240 km if the speed is reduced by 40 km/h?,-15.0
4821,Numbers,Is 6 a natural number and also a prime?,Yes
4822,Percentage,Find the original value if 82% of it equals 7031.,8574.390243902439
4823,Time and Work,"For a job done by 5 people in 12 days, how many days would one person need?",60
